Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore,Delta,Day,Cumulative delta
2023-06-28 21:00:00,1831.61,1834.11,1826.01,1829.84,10618.3346,2023-06-28 21:59:59.999,19427424.518227,12662,5375.1983,9833452.178435,0,-5243.1363,2023-06-28,-170175.1727
2023-06-28 22:00:00,1829.84,1833.73,1826.34,1827.8,7248.7564,2023-06-28 22:59:59.999,13268435.787625,10624,4020.9558,7361545.618368,0,-3227.8006,2023-06-28,-173402.97329999998
2023-06-28 23:00:00,1827.81,1837.02,1827.4,1828.02,7733.4674,2023-06-28 23:59:59.999,14164877.657931,11594,3945.1291,7225872.327999,0,-3788.3383000000003,2023-06-28,-177191.3116
2023-06-29 00:00:00,1828.03,1835.57,1827.84,1832.49,6679.6043,2023-06-29 00:59:59.999,12234591.034531,12043,3184.3754,5832085.47004,0,-3495.2289,2023-06-29,-3495.2289
2023-06-29 01:00:00,1832.49,1843.08,1831.8,1835.97,9695.8838,2023-06-29 01:59:59.999,17820603.586519,13457,5372.6332,9872688.192158,0,-4323.250599999999,2023-06-29,-7818.4794999999995
2023-06-29 02:00:00,1835.97,1837.47,1831.51,1832.55,2397.9707,2023-06-29 02:59:59.999,4399703.222088,8483,1048.5643,1923632.781576,0,-1349.4063999999998,2023-06-29,-9167.8859
2023-06-29 03:00:00,1832.56,1838.14,1831.25,1838.04,5335.0838,2023-06-29 03:59:59.999,9788396.901863,8878,2635.6425,4836058.020169,0,-2699.4413000000004,2023-06-29,-11867.3272
2023-06-29 04:00:00,1838.04,1840.98,1836.57,1839.8,3637.8608,2023-06-29 04:59:59.999,6689561.1379,7747,2214.5613,4072276.565024,0,-1423.2995,2023-06-29,-13290.6267
2023-06-29 05:00:00,1839.8,1843.99,1837.95,1838.26,5341.2377,2023-06-29 05:59:59.999,9830697.787621,9040,2198.4494,4046514.672461,0,-3142.7882999999997,2023-06-29,-16433.415
2023-06-29 06:00:00,1838.26,1840.16,1837.16,1838.2,3826.4238,2023-06-29 06:59:59.999,7035091.914121,11015,1810.5846,3328893.508869,0,-2015.8392000000001,2023-06-29,-18449.2542
2023-06-29 07:00:00,1838.2,1850.55,1837.49,1847.45,10719.1757,2023-06-29 07:59:59.999,19783718.55885,17663,5768.2474,10645325.706726,0,-4950.9283,2023-06-29,-23400.1825
2023-06-29 08:00:00,1847.45,1850.71,1846.74,1848.8,7255.3353,2023-06-29 08:59:59.999,13410656.311469,15929,3268.0488,6040943.940756,0,-3987.2864999999997,2023-06-29,-27387.468999999997
2023-06-29 09:00:00,1848.8,1859.82,1847.81,1858.36,16311.5949,2023-06-29 09:59:59.999,30257185.389219,18192,9470.658,17566189.787102,0,-6840.936900000001,2023-06-29,-34228.4059
2023-06-29 10:00:00,1858.37,1870.0,1854.34,1868.72,23973.0112,2023-06-29 10:59:59.999,44720370.367396,24303,12503.492,23322735.317766,0,-11469.5192,2023-06-29,-45697.9251
2023-06-29 11:00:00,1868.71,1872.84,1864.71,1869.6,16132.0428,2023-06-29 11:59:59.999,30147635.946886,20461,7039.9008,13155257.665455,0,-9092.142,2023-06-29,-54790.0671
2023-06-29 12:00:00,1869.59,1874.22,1865.22,1866.07,11776.7032,2023-06-29 12:59:59.999,22013908.024529,17577,6389.7613,11944751.559242,0,-5386.9419,2023-06-29,-60177.009
2023-06-29 13:00:00,1866.07,1880.0,1852.86,1857.89,33179.9325,2023-06-29 13:59:59.999,62000788.527323,38374,18213.0871,34038939.391036,0,-14966.845400000002,2023-06-29,-75143.8544
2023-06-29 14:00:00,1857.9,1862.03,1847.01,1849.61,19885.3587,2023-06-29 14:59:59.999,36915059.549856,24518,11166.0902,20734919.485858,0,-8719.2685,2023-06-29,-83863.1229
2023-06-29 15:00:00,1849.6,1854.69,1847.45,1851.79,8562.5614,2023-06-29 15:59:59.999,15857812.252317,13226,3886.9324,7198397.438884,0,-4675.629000000001,2023-06-29,-88538.7519
2023-06-29 16:00:00,1851.79,1857.1,1849.1,1850.6,6447.0209,2023-06-29 16:59:59.999,11943654.157552,11205,3116.6368,5773851.134251,0,-3330.3841,2023-06-29,-91869.136
2023-06-29 17:00:00,1850.59,1860.0,1841.38,1850.4,17024.2544,2023-06-29 17:59:59.999,31504719.195611,20985,8577.9715,15873826.445976,0,-8446.282900000002,2023-06-29,-100315.4189
2023-06-29 18:00:00,1850.39,1857.2,1847.5,1856.0,4790.7783,2023-06-29 18:59:59.999,8877881.128544,8857,2152.8996,3990082.20571,0,-2637.8786999999998,2023-06-29,-102953.2976
2023-06-29 19:00:00,1856.01,1858.62,1850.64,1857.48,4961.8826,2023-06-29 19:59:59.999,9204372.156431,8543,2298.7734,4264430.393414,0,-2663.1092,2023-06-29,-105616.4068
2023-06-29 20:00:00,1857.48,1859.5,1842.98,1849.23,12379.0939,2023-06-29 20:59:59.999,22885595.703722,16031,5231.3164,9670201.676974,0,-7147.7775,2023-06-29,-112764.18430000001
2023-06-29 21:00:00,1849.22,1852.84,1846.84,1851.2,4389.2762,2023-06-29 21:59:59.999,8122186.217352,8703,2350.0499,4348716.519639,0,-2039.2263000000003,2023-06-29,-114803.4106
2023-06-29 22:00:00,1851.2,1854.71,1850.42,1851.59,3548.9001,2023-06-29 22:59:59.999,6575492.959492,8006,1626.3682,3013195.348304,0,-1922.5319,2023-06-29,-116725.9425
2023-06-29 23:00:00,1851.59,1856.27,1849.2,1851.99,3593.8411,2023-06-29 23:59:59.999,6658640.14563,7587,1669.5746,3093539.016259,0,-1924.2665000000002,2023-06-29,-118650.209
2023-06-30 00:00:00,1851.99,1856.78,1847.69,1850.0,5896.6291,2023-06-30 00:59:59.999,10920321.508861,10976,2842.9632,5265048.599287,0,-3053.6659,2023-06-30,-3053.6659
2023-06-30 01:00:00,1850.01,1850.01,1841.5,1844.99,9271.9157,2023-06-30 01:59:59.999,17107127.212142,14482,4425.3201,8164623.584155,0,-4846.5956,2023-06-30,-7900.2615
2023-06-30 02:00:00,1844.98,1867.74,1843.82,1861.58,18084.2271,2023-06-30 02:59:59.999,33611170.048136,22774,9403.7565,17474286.9286,0,-8680.4706,2023-06-30,-16580.7321
2023-06-30 03:00:00,1861.57,1879.0,1860.68,1873.34,19799.5837,2023-06-30 03:59:59.999,37043175.391556,25336,11645.6541,21789152.187934,0,-8153.9295999999995,2023-06-30,-24734.6617
2023-06-30 04:00:00,1873.35,1907.99,1869.55,1887.39,51779.1891,2023-06-30 04:59:59.999,98008385.952908,59226,27540.5754,52140803.285323,0,-24238.6137,2023-06-30,-48973.2754
2023-06-30 05:00:00,1887.4,1895.96,1877.18,1882.09,22951.0198,2023-06-30 05:59:59.999,43329211.03984,27426,9813.0636,18521846.859267,0,-13137.956199999999,2023-06-30,-62111.2316
2023-06-30 06:00:00,1882.09,1883.8,1873.5,1874.65,9705.2795,2023-06-30 06:59:59.999,18220133.958452,15937,4621.9984,8676475.733463,0,-5083.2811,2023-06-30,-67194.5127
2023-06-30 07:00:00,1874.65,1890.0,1874.43,1887.8,20159.0277,2023-06-30 07:59:59.999,37968998.523205,18602,6461.737,12164868.576789,0,-13697.290699999998,2023-06-30,-80891.8034
2023-06-30 08:00:00,1887.81,1892.2,1884.74,1889.49,20392.0143,2023-06-30 08:59:59.999,38495997.326231,19908,8482.2934,16011295.589355,0,-11909.720899999998,2023-06-30,-92801.52429999999
2023-06-30 09:00:00,1889.5,1890.95,1883.44,1885.51,12722.9724,2023-06-30 09:59:59.999,24008824.603602,17065,5106.504,9634945.37793,0,-7616.468400000001,2023-06-30,-100417.9927
2023-06-30 10:00:00,1885.51,1894.38,1885.02,1892.22,10701.4973,2023-06-30 10:59:59.999,20225930.851882,17452,5195.212,9819497.644691,0,-5506.2853000000005,2023-06-30,-105924.27799999999
2023-06-30 11:00:00,1892.21,1893.48,1886.0,1891.1,8273.4477,2023-06-30 11:59:59.999,15640804.714009,14263,4122.8992,7794193.249122,0,-4150.548500000001,2023-06-30,-110074.8265
2023-06-30 12:00:00,1891.1,1913.4,1888.24,1906.66,27960.1076,2023-06-30 12:59:59.999,53158083.865291,33656,15318.9851,29124926.848199,0,-12641.1225,2023-06-30,-122715.949
2023-06-30 13:00:00,1906.66,1909.14,1825.01,1855.36,123015.3714,2023-06-30 13:59:59.999,229076629.540797,123702,55689.5388,103699059.284595,0,-67325.8326,2023-06-30,-190041.7816
2023-06-30 14:00:00,1855.37,1861.91,1841.96,1845.45,46044.198,2023-06-30 14:59:59.999,85296454.896141,48689,22974.2707,42569359.087875,0,-23069.927299999996,2023-06-30,-213111.70889999997
2023-06-30 15:00:00,1845.45,1854.42,1844.12,1852.32,17503.3252,2023-06-30 15:59:59.999,32370349.518631,22448,8611.1187,15923319.634263,0,-8892.206499999998,2023-06-30,-222003.91539999997
2023-06-30 16:00:00,1852.32,1905.34,1849.0,1898.49,83902.1661,2023-06-30 16:59:59.999,157404210.220772,80979,37003.6591,69582479.758274,0,-46898.507000000005,2023-06-30,-268902.4224
2023-06-30 17:00:00,1898.5,1948.6,1898.2,1931.8,114030.6735,2023-06-30 17:59:59.999,219711071.034023,125628,61835.9111,119144822.552098,0,-52194.76240000001,2023-06-30,-321097.1848
2023-06-30 18:00:00,1931.8,1943.0,1914.55,1924.61,35722.3624,2023-06-30 18:59:59.999,68891478.411354,41891,17294.1033,33351191.883493,0,-18428.2591,2023-06-30,-339525.4439
